17091;Hajo Drott;;;;;;;;;;https://d-nb.info/954828550;;;3-930617-06-4;;phd/dnb/Drott97;2021-07-17;;;;1-425;dot-Verlag;;;;;;;;Computerbild: Wirklichkeit und Fiktion.;;;1997
17324;Hua-Wei Shen;;;;;;;;;;https://d-nb.info/1023448033;;;978-3-642-31820-7;;phd/dnb/Shen13a;2021-07-17;;;;1-117;Springer;;;;;;;;Community structure of complex networks.;;;2013
17634;Brigitte Werners;;;;;;;;;;https://d-nb.info/931483115;;;978-3-86073-159-8;;phd/dnb/Werners93;2021-07-17;;;;1-376;Verlag der Augustinus-Buchhandlung;;;RWTH Aachen University, Germany;;;;;Unterstützung der strategischen Technologieplanung durch wissensbasierte Systeme.;;;1993
17941;Carlotta Piscopo;;;;;;;;;;https://d-nb.info/1027422780;;;978-3-642-35358-1;;phd/dnb/Piscopo13;2021-07-17;;;;1-146;Springer;;;;;;;;The metaphysical nature of the non-adequacy claim: an epistemological analysis of the debate on probability in artificial intelligence.;;;2013
18223;Georg Rainer Hofmann;;;;;;;;;;https://d-nb.info/920349374;;;978-3-540-55265-9;;phd/dnb/Hofmann92;2021-07-17;;;;1-136;Springer;;;;;;;;Naturalismus in der Computergraphik.;;;1992
18671;Werner Sinzig;;;;;;;;;;https://d-nb.info/900422114;;;978-3-540-51786-3;;phd/dnb/Sinzig90;2021-07-17;;;;1-320;Springer;;;Goethe University Frankfurt, Germany;;;;;Datenbankorientiertes Rechnungswesen: Grundzüge einer EDV-gestützten Realisierung der Einzelkosten- und Deckungsbeitragsrechnung.;;;1990
18972;Ralf Gutsche;;;;;;;;;;https://d-nb.info/942327977;;;978-3-528-06658-1;;phd/dnb/Gutsche94;2021-07-17;;;;1-206;Vieweg;;;;;;;;Fahrerlose Transportsysteme: automatische Bahnplanung in dynamischen Umgebungen.;;;1994
19163;Andreas Diener;;;;;;;;;;https://d-nb.info/870741942;;;978-3-7281-1509-6;;phd/dnb/Diener87;2021-07-17;;;;1-123;ETH Zurich, Zürich, Verlag der Fachvereine, Switzerland;;;;;;;;An architecture for distributed databases on workstations.;;;1987
20024;Jörg M. Haake;;;;;;;;;;https://d-nb.info/94988653X;;;3-486-24265-2;;phd/dnb/Haake97;2021-07-17;;;;1-242;Oldenbourg;;;;;;;;Autorensysteme für die kooperative Erstellung von Hyperdokumenten.;;;1997
20094;Simone Pribbenow;;;;;;;;;;https://d-nb.info/930731808;;;978-3-8244-2042-1;;phd/dnb/Pribbenow93;2021-07-17;;;;1-282;Dt. Univ.-Verlag;;;;;;;;Räumliche Konzepte in Wissens- und Sprachverarbeitung: hybride Verarbeitung von Lokalisierung.;;;1993
20159;Rainer Siebenhaar;;;;;;;;;;https://d-nb.info/1195724608;;;978-3-8316-8378-9;;phd/dnb/Siebenhaar19;2021-07-17;;;;1-160;Utz;;;;;;;;Verkehrslenkung und Kapazitätsanpassung in ATM-Netzen mit virtuellen Pfaden, 2. unveränderte Auflage.;;;2019
20205;Thomas Köhler;;;;;;;;;;https://d-nb.info/967071402;;;978-3-531-14026-1;;phd/dnb/Kohler03;2021-07-17;;;;1-232;Westdt. Verlag;;;;;;;;Das Selbst im Netz: die Konstruktion sozialer Identität in der computervermittelten Kommunikation.;;;2003
20587;Angelika Glöckner-Rist;;;;;;;;;;https://d-nb.info/930101758;;;978-3-87940-453-7;;phd/dnb/Glockner-Rist93;2021-07-17;;;;1-287;Univ.-Verl. Konstanz;;;;Schriften zur Informationswissenschaft;db/series/hischr/index.html;;;Suchfragen im Information-Retrieval: eine empirische Untersuchung zum Rechercheverhalten von Informationsvermittlern und Endnutzern.;;8;1993
20989;Heike Stach;;;;;;;;;;https://d-nb.info/960448683;;;978-3-8244-4433-5;;phd/dnb/Stach01;2021-07-17;;;;1-239;DUV;;;;;;;;Zwischen Organismus und Notation: zur kulturellen Konstruktion des Computer-Programms.;;;2001
21588;Wei Li 0006;;;;;;;;;;https://d-nb.info/921006691;;;978-3-528-06494-5;;phd/dnb/Li92;2021-07-17;;;;1-131;Vieweg;;;;;;;;Grafische Simulation und Kollisionsvermeidung von Robotern.;;;1992
21889;Lutz-Peter Kurdelski;;;;;;;;;;https://d-nb.info/950557560;;;;;phd/dnb/Kurdelski97;2021-07-17;;;;1-192;Kamloth;;;Darmstadt University of Technology;;;;;Modell eines adaptierbaren, rechnergestützten, wissenschaftlichen Arbeitsplatzes am Alfred-Wegener-Institut für Polar- und Meeresforschung = Modelling an adaptive, computer based, scientific workplace at the Alfred Wegener Institute for Polar and Marine Research.;;;1997
